"","X","az","date","senat","anordnung","link","year","kammer","r1","r2","r3","r1_f","r2_f","r3_f","gv","wechsel_at_all","ersetzt","ersatz","konform","c_nach_gversatz","crit","whichgv","gv_mod","real_c","drop","gv_viol"
"4252",4029,"2 BvR 699/06",2006-04-15,2,0,"http://www.bverfg.de/e/rk20060415_2bvr069906.html",2006,2,"Osterloh","Mellinghoff","Lübbe-Wolff","Broß","Lübbe-Wolff","Gerhardt","Mellinghoff Osterloh Landau DiFabio Hassemer",1,"Gerhardt","Mellinghoff","Osterloh Lübbe-Wolff Mellinghoff",2,0,"1","Mellinghoff Landau DiFabio Hassemer",2,FALSE,0
"4313",3517,"2 BvR 214/08",2008-02-04,2,0,"http://www.bverfg.de/e/rk20080204_2bvr021408.html",2008,2,"Osterloh","Mellinghoff","Lübbe-Wolff","Broß","Lübbe-Wolff","Gerhardt","Mellinghoff Osterloh Landau DiFabio Hassemer",1,"Broß Gerhardt","Osterloh Mellinghoff","Lübbe-Wolff Mellinghoff Osterloh",2,0,"1 2","Mellinghoff Osterloh Landau DiFabio Hassemer",2,FALSE,0
"4330",3396,"2 BvR 733/08",2008-05-09,2,0,"http://www.bverfg.de/e/rk20080509_2bvr073308.html",2008,2,"DiFabio","Gerhardt","Landau","Broß","DiFabio","Landau","Gerhardt Lübbe-Wolff Mellinghoff Voßkuhle Osterloh",1,"Broß","Gerhardt","DiFabio Landau Gerhardt",1,0,"1","Gerhardt Lübbe-Wolff",1,FALSE,0
"4377",3167,"2 BvR 287/09",2009-02-19,2,0,"http://www.bverfg.de/e/rk20090219_2bvr028709.html",2009,2,"DiFabio","Lübbe-Wolff","Landau","Broß","DiFabio","Landau","Voßkuhle Lübbe-Wolff Mellinghoff Gerhardt Osterloh",1,"Broß","Lübbe-Wolff","DiFabio Landau Voßkuhle",1,0,"2","Voßkuhle Lübbe-Wolff Mellinghoff Gerhardt Osterloh",1,FALSE,1
"4403",2996,"2 BvR 542/09",2009-07-23,2,0,"http://www.bverfg.de/e/rk20090723_2bvr054209.html",2009,2,"Broß","Lübbe-Wolff","Landau","Broß","DiFabio","Landau","Voßkuhle Lübbe-Wolff Mellinghoff Gerhardt Osterloh",1,"DiFabio","Lübbe-Wolff","Broß Landau Voßkuhle",1,0,"2","Voßkuhle Lübbe-Wolff Mellinghoff Gerhardt Osterloh",1,FALSE,1
"4406",2971,"2 BvR 343/09",2009-08-11,2,0,"http://www.bverfg.de/e/rk20090811_2bvr034309.html",2009,2,"Broß","DiFabio","Lübbe-Wolff","Broß","DiFabio","Landau","Voßkuhle Lübbe-Wolff Mellinghoff Gerhardt Osterloh",1,"Landau","Lübbe-Wolff","Broß DiFabio Voßkuhle",1,0,"2","Voßkuhle Lübbe-Wolff Mellinghoff Gerhardt Osterloh",1,FALSE,1
"4425",2815,"2 BvR 2307/06",2010-02-04,2,0,"http://www.bverfg.de/e/rk20100204_2bvr230706.html",2010,2,"Broß","DiFabio","Gerhardt","Broß","DiFabio","Landau","Voßkuhle Lübbe-Wolff Mellinghoff Gerhardt Osterloh",1,"Landau","Gerhardt","Broß DiFabio Voßkuhle",1,0,"4","Voßkuhle Lübbe-Wolff Mellinghoff Gerhardt Osterloh",1,FALSE,1
"4439",2699,"2 BvR 571/10",2010-06-30,2,0,"http://www.bverfg.de/e/rk20100630_2bvr057110.html",2010,2,"DiFabio","Lübbe-Wolff","Landau","Broß","DiFabio","Landau","Voßkuhle Lübbe-Wolff Mellinghoff Gerhardt Osterloh",1,"Broß","Lübbe-Wolff","DiFabio Landau Voßkuhle",1,0,"2","Voßkuhle Lübbe-Wolff Mellinghoff Gerhardt Osterloh",1,FALSE,1
"4451",2549,"2 BvL 12/09",2010-11-16,2,0,"http://www.bverfg.de/e/lk20101116_2bvl001209.html",2010,2,"Broß","DiFabio","Landau","DiFabio","Gerhardt","Hermanns","Huber Lübbe-Wolff Mellinghoff Landau Voßkuhle",1,"Gerhardt Hermanns","Broß Landau","DiFabio Huber Lübbe-Wolff",1,0,"4","Huber Lübbe-Wolff Mellinghoff Landau Voßkuhle",0,FALSE,1
"4466",2302,"2 BvR 1010/10",2011-10-11,2,0,"http://www.bverfg.de/e/rk20111011_2bvr101010.html",2011,2,"Gerhardt","Huber","Hermanns","DiFabio","Gerhardt","Hermanns","Huber Lübbe-Wolff Mellinghoff Landau Voßkuhle",1,"DiFabio","Huber","Gerhardt Hermanns Huber",2,0,"1","Huber Lübbe-Wolff Mellinghoff Landau Voßkuhle",2,FALSE,0
